enrollee_id,city_development_index,education_level,experience,company_size,last_new_job,training_hours,no_company_info,gender_Male,gender_Other,gender_Unknown,relevent_experience_No relevent experience,enrolled_university_Part time course,enrolled_university_no_enrollment,enrolled_university_unknown,major_discipline_Business Degree,major_discipline_Humanities,major_discipline_No Major,major_discipline_Other,major_discipline_STEM,major_discipline_Unknown,company_type_Funded Startup,company_type_NGO,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,company_type_Unknown,probability,risk,expected_value,recommended_action,top_reasons
1695,0.939,3,12,6,1,42,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.15324615,Low,799.0,Monitor quarterly (no action needed),City development level = 0.939 (lowers risk); Company size = 6 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
7765,0.698,3,2,0,0,18,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.84494066,High,11174.0,Personal outreach + mentorship (likely between jobs),Company size = 0 (INCREASES risk); No company info (likely unemployed) = 1 (INCREASES risk); Education level = 3 (INCREASES risk)
14826,0.939,2,5,1,1,22,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0.07489311,Low,-377.0,Monitor quarterly (no action needed),City development level = 0.939 (lowers risk); Education level = 2 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
7003,0.84,3,10,6,1,78,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.60652214,High,7598.0,Career coaching session + project opportunities,Training hours completed = 78 (INCREASES risk); Time since last job change = 1 (INCREASES risk); No company info (likely unemployed) = 0 (lowers risk)
13522,0.624,3,21,0,5,78,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,0.5957878,Medium,7437.0,Invite to advanced training / career coaching,City development level = 0.624 (INCREASES risk); Years of experience = 21 (lowers risk); Time since last job change = 5 (lowers risk)
12403,0.563,3,4,0,2,148,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.73236555,High,9485.0,Personal outreach + mentorship (likely between jobs),City development level = 0.563 (INCREASES risk); No company info (likely unemployed) = 1 (INCREASES risk); Training hours completed = 148 (lowers risk)
25706,0.92,3,4,4,1,34,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.1552896,Low,829.0,Monitor quarterly (no action needed),City development level = 0.92 (lowers risk); Company size = 4 (lowers risk); No company info (likely unemployed) = 0 (lowers risk)
14295,0.92,1,9,1,2,157,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,0.17276111,Low,1091.0,Monitor quarterly (no action needed),City development level = 0.92 (lowers risk); Education level = 1 (lowers risk); Company size = 1 (lowers risk)
20214,0.92,2,2,0,1,47,1,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.67985296,High,8698.0,Personal outreach + mentorship (likely between jobs),No company info (likely unemployed) = 1 (INCREASES risk); Education level = 2 (lowers risk); Company size = 0 (INCREASES risk)
17878,0.926,0,21,0,5,16,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,0.01571732,Low,-1264.0,Monitor quarterly (no action needed),City development level = 0.926 (lowers risk); enrolled_university_unknown = True (lowers risk); Years of experience = 21 (lowers risk)
